,LA,LP,LL,LW,RLW,LMF,LS,LA_Boxcox,LP_Boxcox,LL_Boxcox,LW_Boxcox,RLW_Boxcox,LMF_Boxcox
130,450.97,121.07,43.81,17.65,2.48,0.123065001,3.0,3.474137580628114,5.209301421477575,3.008453262239914,2.722684801133543,0.6744685333902505,-1.541873949173393
131,843.67,202.55,51.77,38.12,1.36,0.082256098,3.0,3.640766962907376,5.820327944666218,3.1111616425063957,3.4048335688571503,0.2769983690872569,-1.7400077994805196
132,128.66,46.79,17.87,9.56,1.87,0.23507013,3.0,3.0682342400651113,4.1082160530981735,2.418312035272478,2.1653378683040105,0.5080903662539253,-1.1670915667249813
133,560.1,156.55,48.49,25.8,1.88,0.091415412,3.0,3.534240151601046,5.513120224528616,3.071150982366372,3.061451595726208,0.5115437936035909,-1.6904484560252482
134,172.97,76.23,22.17,18.31,1.21,0.11906358,3.0,3.173679194509752,4.669066149033538,2.566343623452661,2.755653473850789,0.17859323383788522,-1.5590762424357507
135,131.21,47.21,17.94,9.84,1.82,0.235482656,1.0,3.0754278874578627,4.118401148908412,2.4210320037989046,2.1918649635791607,0.49034330209144555,-1.1659708544208016
136,464.23,143.99,38.86,31.64,1.23,0.089562979,3.0,3.4823309789862282,5.4139642904486935,2.933350034228096,3.2415632398369962,0.19288164222021004,-1.7001852635836803
137,1186.52,210.74,62.93,38.6,1.63,0.106866381,2.0,3.722835048388397,5.8678368169664665,3.2285549601237946,3.4157584154962395,0.41461619233654146,-1.614109631825501
138,132.89,47.64,18.03,9.58,1.88,0.234211808,3.0,3.080075706415204,4.128738462975232,2.4245116027299707,2.167259224423525,0.5115437936035909,-1.1694277370080175
139,440.95,167.68,37.23,36.99,1.01,0.062731664,3.0,3.46775097903265,5.59476241604785,2.906232612804396,3.3785408887992956,0.009916182190063412,-1.8600399588029124
140,167.53,62.53,28.02,8.72,3.21,0.17138615,3.0,3.1626008248996964,4.440301206535274,2.722636544491534,2.080636752176344,0.8005813835169282,-1.3594416817480082
141,613.53,225.82,57.92,40.98,1.41,0.048125027,3.0,3.558718113997752,5.9508260005580675,3.1790176468510736,3.4679253068315585,0.30582742637964944,-1.9681126931274087
142,1899.77,188.93,76.62,35.7,2.15,0.212891914,1.0,3.8270381506873217,5.737050812076717,3.344042208959359,3.34748727363741,0.5943757262461533,-1.2294556789579292
143,344.1,101.24,30.47,21.39,1.42,0.134288985,2.0,3.395259281323276,4.999405770035216,2.777472298508892,2.894779856877621,0.3113866732454366,-1.495597054740348
144,744.19,159.93,47.21,36.0,1.31,0.116381499,2.0,3.6090909533976467,5.538491350477712,3.054702901392529,3.354811729981661,0.2463189145525122,-1.5708313922432262
145,755.59,243.26,51.69,41.73,1.24,0.051074578,3.0,3.6129728941406993,6.040372750026288,3.1102200870695147,3.483715131197633,0.19987942878195164,-1.9446247013997329
146,548.16,152.1,39.11,35.64,1.1,0.094778298,3.0,3.5283836355785927,5.478898154070894,2.937395701713187,3.3460147229989583,0.09223772640083663,-1.673115084354529
147,208.69,120.31,27.84,25.85,1.08,0.057671092,3.0,3.237307990924919,5.201890534090031,2.718396590645063,3.0631670237623987,0.07494932365366418,-1.895298080374675
148,736.42,151.29,65.04,20.98,3.1,0.128696021,1.0,3.606403764316056,5.472565072532671,3.2481045892312923,2.877505024985202,0.7848238015916343,-1.5183084603435142
149,706.46,124.27,54.32,19.84,2.74,0.182984781,1.0,3.595712747470987,5.240020038380924,3.140344189569073,2.827567417269815,0.72588350369292,-1.321106425756785
150,390.24,131.84,39.7,23.99,1.65,0.089804352,3.0,3.4325032907751445,5.30975010323778,2.946829163867682,2.996915270738276,0.4232789705935754,-1.6989087181939457
151,253.42,126.17,31.11,19.33,1.61,0.063677891,3.0,3.300587169815388,5.257899648970642,2.790981282693433,2.8042550668746364,0.4057717461133307,-1.8536675051073481
152,198.42,86.14,23.55,22.56,1.04,0.106963524,3.0,3.2204453748628183,4.81096759764028,2.607087092954325,2.942249689003998,0.03869371599102605,-1.6136545995671412
153,886.85,206.04,52.31,45.27,1.16,0.083561664,3.0,3.653142679194179,5.84079572200501,3.1174746037464063,3.5544740983210072,0.1410587797829476,-1.732718053147272
154,125.73,46.58,17.94,8.97,2.0,0.231792798,3.0,3.05975321280453,4.103090339424402,2.4210320037989046,2.1067004385591437,0.5506919380259192,-1.1760437462855318
155,2078.93,235.07,103.11,35.2,2.93,0.150489238,1.0,3.845860545854356,5.999120764954138,3.5129418212284333,3.3351368069611427,0.7585181877967914,-1.4332984408602423
156,1247.42,252.65,73.29,51.23,1.43,0.078168916,3.0,3.7344021626344386,6.086049254873604,3.3182211250552895,3.6615451743589533,0.3168800945734796,-1.7633587600539438
157,251.61,95.57,30.16,19.36,1.56,0.110190643,3.0,3.2982962777210028,4.932046948541586,2.77081356828036,2.805643949214926,0.38282483698595865,-1.598697861349872
158,1044.76,193.24,86.26,22.09,3.9,0.111913498,1.0,3.692887493174764,5.764014218987679,3.4122070887728886,2.92349455378121,0.881917085818668,-1.5908365268806886
159,945.31,161.07,71.02,23.38,3.04,0.145748779,1.0,3.6687858418177903,5.546931777746933,3.2998503785438316,2.9740212132269104,0.775823832246626,-1.4510276963045605
160,265.3,109.62,27.47,26.72,1.03,0.088311578,1.0,3.3151494675105515,5.092565668790611,2.7095833840131447,3.0924766618367725,0.029258807118466592,-1.7068419018977237
161,488.08,139.75,41.1,31.01,1.33,0.099964862,3.0,3.496380685251449,5.378595655879546,2.968596111636847,3.2238708447782147,0.2588247062271688,-1.647196184143666
162,1033.14,152.13,65.75,24.61,2.67,0.178562163,1.0,3.6902172645241844,5.4791320864613775,3.2545228249913634,3.0195740700589813,0.7128761430566825,-1.3355202621057578
163,611.95,171.39,48.42,33.98,1.42,0.083330689,3.0,3.5580316762306703,5.620816269998867,3.0702641744106702,3.3042213390782105,0.3113866732454366,-1.7340019668578848
164,242.0,110.71,31.4,24.7,1.27,0.078977186,3.0,3.285790761906973,5.104173909013379,2.7969999081328267,3.0228139592114602,0.22031200715943502,-1.7586751686439177
165,124.53,46.58,18.01,8.2,2.2,0.229580507,3.0,3.0562106671337306,4.103090339424402,2.4237400508677753,2.0238483034386516,0.6078107311284195,-1.1821362581834551
166,3635.12,442.27,121.05,72.31,1.67,0.074336786,3.0,3.955073788862206,6.7682112677455875,3.601592175718857,3.957312119913388,0.4317659473709999,-1.7860315498687265
167,1049.15,218.53,51.87,51.0,1.02,0.087877045,1.0,3.693886988819071,5.911398404118886,3.112336286072031,3.6576584239225047,0.019667681341023837,-1.7091685688353573
168,1927.57,319.96,94.48,59.46,1.59,0.075314531,3.0,3.8300959961547774,6.372226062760969,3.463876996923655,3.7898639450895026,0.3967394935637946,-1.7801714095101226
